,PlanetIdentifier,PeriodDays,SemiMajorAxisAU
1685,Kepler-760 c,2.46697439,0.03573136529923484
1686,HD 3651 b,62.23,0.284
1687,HD 3651.02,31.08,0.18600000000000003
1688,Kepler-1558 b,3.50470358,0.04515515926452772
1689,OGLE-2011-BLG-0251 b,1638.4891907754536,2.72
1690,HATS-3 b,3.547849,0.0497
1691,Kepler-1436 b,9.705716,0.08904815036417867
1692,HD 4308 b,15.609000000000002,0.11800000000000001
1693,Kepler-544 b,21.41616926,0.15092726796119602
1694,HAT-P-45 b,3.1289919999999998,0.0452
1695,Kepler-1645 b,16.1779561,0.12518595842839947
1696,Kepler-1020 b,96.91514959999999,0.4129216276633924
1697,Kepler-339 b,4.977656,0.05705448243788755
1698,Kepler-339 d,10.558345,0.09418977282034655
1699,Kepler-339 c,6.988055,0.07153370618634794
1700,PSR J1719-1438 b,0.09070629300000001,0.00442
1701,Kepler-60 b,7.132000000000001,0.07497000000000001
1702,Kepler-60 c,8.9177,0.08701
1703,Kepler-60 d,11.902999999999999,0.10547999999999999
1704,Kepler-253 c,10.281951,0.09253873039916286
1705,Kepler-253 d,18.119869,0.13501330006247034
1706,Kepler-253 b,3.783986,0.047523257026444325
1707,Kepler-1140 b,24.0862707,0.16322483023547285
1708,Kepler-355 c,25.762294,0.17071153666090483
1709,Kepler-355 b,11.031889999999999,0.09698542325864695
1710,Kepler-1060 b,46.8779367,0.2544400715917356
1711,Kepler-137 c,18.735753,0.13805557584808922
1712,Kepler-137 b,8.436387,0.08110435586533837
1713,Kepler-507 b,3.56809693,0.04569804413732645
1714,Kepler-1479 b,14.53261362,0.11654733169760771
1715,HD 81040 b,1001.7,1.94
1716,Kepler-320 c,17.934936999999998,0.13409309677265602
1717,Kepler-320 b,8.371554,0.0806883012460585
1718,WASP-10 b,3.0927616,0.0371
1719,Kepler-664 b,2.52559332,0.0362951668383184
1720,Kepler-777 b,5.72812599,0.0626539166122665
1721,Kepler-949 b,8.689307300000001,0.08271735165071319
1722,Kepler-1557 b,3.74032496,0.04715698970636804
1723,HD 215497 b,3.93404,0.047
1724,HD 215497 c,567.94,1.2819999999999998
1725,WTS-2 b,1.0187068000000001,0.01855
1726,Kepler-745 b,9.93143556,0.09042347705502861
1727,Kepler-282 d,24.805787,0.16645947621662055
1728,Kepler-282 e,44.346937,0.2451972544060751
1729,Kepler-282 b,9.220524000000001,0.08605516044595951
1730,Kepler-282 c,13.638723,0.1117177866668883
1731,Kepler-737 b,28.59915399,0.1830242521811925
1732,Kepler-135 b,6.00253,0.06463921542777445
1733,Kepler-135 c,11.448708,0.0994132265504998
1734,WASP-103 b,0.925542,0.019780000000000002
1735,Kepler-1630 b,509.99740199999997,1.2492570991695198
1736,Kepler-1138 b,3.17060005,0.04223775483308453
1737,Kepler-162 c,19.446355,0.14152461758690354
1738,Kepler-162 b,6.919797999999999,0.07106713290623173
1739,XO-3 b,3.1915239,0.0454
1740,Kepler-224 c,5.925003,0.06408143570936273
