PlanetIdentifier,PeriodDays,SemiMajorAxisAU,DistFromEarthParsec,ListsPlanetIsOn
EPIC 201596316 b,39.937670000000004,0.2257,2019.0,0
HD 134606 b,12.083,0.1023,26.5,0
HD 134606 c,59.519,0.2962,26.5,0
HD 134606 d,459.26,1.1567,26.5,0
Kepler-141 c,7.010606,0.07168752010832893,313.46,0
Kepler-141 b,3.107675,0.041677044433112945,313.46,0
Kepler-383 b,12.904532000000001,0.10767164697601192,519.82,0
Kepler-383 c,31.200751,0.1939619531256436,519.82,0
Gliese 176 b,8.7836,0.066,9.42,0
Kepler-133 c,31.517585999999998,0.1952728274293327,587.59,0
Kepler-133 b,8.129976,0.07912845618541467,587.59,0
Kepler-65 b,2.1549156000000003,0.035,246.65,0
Kepler-65 c,5.8599407999999995,0.068,246.65,0
Kepler-65 d,8.131231,0.084,246.65,0
Kepler-42 b,1.21376,0.0116,38.7,0
Kepler-42 c,0.4532,0.006,38.7,0
Kepler-42 d,1.865,0.0154,38.7,0
WASP-129 b,5.748145,0.0628,246.0,0
K2-30 b,4.098507,0.04986,323.0,0
V391 Peg b,1170.0,1.7,1400.0,0
KOI-806.03,29.334,0.18,924.9,0
KOI-806.02,60.3251,0.3,924.9,0
KOI-806.01,143.213,0.5,924.9,0
HD 7199 b,615.0,1.36,36.0,0
mu Arae b,643.25,1.5,15.3,0
mu Arae c,9.6386,0.09094,15.3,0
mu Arae d,310.55,0.9209999999999999,15.3,0
mu Arae e,4205.8,5.235,15.3,0
eps Tau b,594.9,1.93,44.96,7
K2-108 b,4.73401,0.0573,262.4,0
HAT-P-11 b,4.887804,0.053,38.0,0
Kepler-360 b,3.289672,0.04328873708808985,1230.47,0
Kepler-360 c,7.186433999999999,0.07288119380824565,1230.47,0
WASP-47 b,4.1591287,0.051,200.0,0
WASP-47 e,0.789597,0.017,200.0,0
WASP-47 d,9.03081,0.08800000000000001,200.0,0
WASP-47 c,572.0,1.36,200.0,0
HD 224693 b,26.73,0.233,94.0,0
HD 117207 b,2627.08,3.78,33.0,0
HD 109246 b,68.27,0.33,65.6,0
Kepler-207 d,5.868075,0.06367030851093719,813.46,0
Kepler-207 b,1.6118649999999999,0.026904543463861313,813.46,0
Kepler-207 c,3.071571,0.04135362221834326,813.46,0
HD 156846 b,359.5546,1.0959999999999999,49.0,3
CoRoT-22 b,9.755980000000001,0.092,592.0,0
KOI-1257 b,86.647661,0.382,900.0,2
Kepler-155 b,5.9311940000000005,0.06412606681033482,302.28,0
Kepler-155 c,52.661793,0.27496048047144467,302.28,0
HD 28254 b,1116.0,2.15,56.2,0
Kepler-237 c,8.103636,0.07895745358113296,660.75,0
Kepler-237 b,4.715106,0.05503016613618099,660.75,0
Kepler-89 b,3.743208,0.05119,426.2,0
Kepler-89 c,10.423648,0.1013,426.2,0
Kepler-89 d,22.342989000000003,0.1684,426.2,0
Kepler-89 e,54.32031,0.3046,426.2,0
HAT-P-43 b,3.3326879999999997,0.0443,543.0,0
Kepler-139 b,15.771044,0.12307791935790371,476.47,0
Kepler-139 c,157.072878,0.5697364227843357,476.47,0
Kepler-254 b,5.826662000000001,0.0633703930423592,1607.46,0
Kepler-254 c,12.412183,0.1049152525206497,1607.46,0
Kepler-254 d,18.746477,0.13810825113671674,1607.46,0
HD 157172 b,104.84,0.41600000000000004,31.9,0
HD 181342 b,663.0,1.78,110.6,0
HD 47186 b,4.0845,0.05,37.84,0
HD 47186 c,1353.6,2.395,37.84,0
HD 164509 b,282.4,0.875,52.0,0
HD 27442 A b,415.2,1.16,18.1,2
Kepler-363 d,11.932125,0.10219234849180235,734.62,0
Kepler-363 c,7.542427,0.07526861543555703,734.62,0
Kepler-363 b,3.6145680000000002,0.04609397018349257,734.62,0
EPIC 201912552 b,32.94488,0.1491,34.0,0
HD 38801 b,696.3,1.7,99.4,0
HD 114613 b,3827.0,5.16,20.67,0
HD 185269 b,6.837999999999999,0.077,50.28,2
HD 80606 b,111.4273,0.46299999999999997,58.4,2
HIP 14810 b,6.6738550000000005,0.0692,52.9,0
HIP 14810 c,147.73,0.545,52.9,0
HIP 14810 d,962.0,1.89,52.9,0
Gliese 649 b,598.3,1.135,10.34,0
GJ 649.02,4.4762,0.043,10.34,1
Kepler-117 c,50.790391,0.2804,1430.0,0
Kepler-117 b,18.7959228,0.1445,1430.0,0
KOI-142 b,10.9542,0.098,385.0,0
KOI-142 c,22.1,0.1529,385.0,0
HD 8535 b,1313.0,2.45,52.5,0
HD 17092 b,359.9,1.29,109.0,0
HD 154088 b,18.596,0.1316,17.8,0
HD 86081 b,2.1375,0.039,91.0,0
Kepler-364 c,59.980627,0.29987978061603404,872.59,0
Kepler-364 b,25.745718,0.17063830255196258,872.59,0
HATS-20 b,3.7992969,0.046189999999999995,454.0,0
Kepler-438 b,35.23319,0.166,145.0,0
Gliese 3021 A b,133.71,0.49,17.62,2
Gliese 676 A d,3.6,0.0413,16.5,2
Gliese 676 A e,35.37,0.187,16.5,2
Gliese 676 A b,1050.3,1.8,16.5,2
Gliese 676 A c,4400.0,5.2,16.5,3
Kepler-26 b,12.282972000000001,0.1041858705241907,482.39,0
Kepler-26 c,17.251204,0.1306630498025866,482.39,0
Kepler-26 d,3.5439190000000003,0.045491372679055155,482.39,0
Kepler-26 e,46.827915000000004,0.25425903703815966,482.39,0
HD 2039 b,1183.0,2.2,89.8,0
HD 59686 b,303.0,0.9109999999999999,92.0,0
HIP 57050 b,41.397,0.16350599999999998,11.0,0
Fomalhaut b,320000.0,177.0,7.704,3
KOI-830 b,3.52563254,0.0433,720.0,0
CoRoT-3 b,4.2568,0.057,680.0,0
HD 30562 b,1159.0,2.315,26.5,0
HD 132563 B b,1544.0,2.62,96.0,2
Kepler-230 b,32.625555,0.19982283784747337,894.5,0
Kepler-230 c,91.77324200000001,0.39818408666731353,894.5,0
WASP-71 b,2.9036747000000003,0.046310000000000004,200.0,0
HD 34445 b,1049.0,2.07,46.5,0
Omega Serpentis b,277.02,1.1,83.8,0
Kepler-96 b,16.2385,0.12549809207316673,128.0,0
HIP 57274 b,8.1352,0.07,25.92,0
HIP 57274 c,32.03,0.17800000000000002,25.92,0
HIP 57274 d,431.7,1.01,25.92,0
Kepler-334 c,12.758005,0.10685504435978037,439.8,0
Kepler-334 b,5.470319,0.06075960644187201,439.8,0
Kepler-334 d,25.098489999999998,0.16776637197209585,439.8,0
Kepler-297 b,38.871826,0.22457589800736233,684.83,0
Kepler-297 c,74.920137,0.3478074594981252,684.83,0
Kepler-36 b,13.839879999999999,0.1151,436.93699999999995,0
Kepler-36 c,16.23855,0.1283,436.93699999999995,0
HATS-29 b,4.605874900000001,0.05475,351.0,0
HD 142415 b,386.3,1.05,34.2,0
Kepler-110 b,12.691112,0.10648120767836776,532.42,0
Kepler-110 c,31.719775,0.19610706907012684,532.42,0
Kepler-152 b,18.207973000000003,0.13545059508949422,456.33,0
Kepler-152 c,88.255055,0.387941502554888,456.33,0
Kepler-276 c,31.884362,0.19678485499561169,1559.37,0
Kepler-276 b,14.12841,0.11437612440895305,1559.37,0
Kepler-276 d,48.648869,0.26080846456442464,1559.37,0
WASP-25 b,3.7648300000000003,0.0474,169.0,0
Kepler-338 b,13.726976,0.11599999999999999,545.29,0
Kepler-338 c,24.310856,0.17,545.29,0
Kepler-338 d,44.431014000000005,0.24550706822599846,545.29,0
Kepler-338 e,9.34149,0.09,545.29,0
Kepler-318 b,4.662715,0.05462176936277027,605.0,0
Kepler-318 c,11.815007000000001,0.1015225472255456,605.0,0
HD 564 b,492.3,1.2,53.6,0
Kepler-445 b,2.9841509999999998,0.102,90.0,0
Kepler-445 c,4.8712290000000005,0.141,90.0,0
Kepler-445 d,8.15275,0.2,90.0,0
Kepler-66 b,17.815815,0.1352,1107.0,7
Kepler-112 b,8.408878,0.08092795223046148,495.55,0
Kepler-112 c,28.574263000000002,0.18291804120921043,495.55,0
Kepler-421 b,704.1984,1.219,320.0,0
Kepler-388 b,3.173315,0.04226186321032264,399.01,0
Kepler-388 c,13.297004000000001,0.10984384244227584,399.01,0
KOI-183 b,2.6843285,0.03585,725.0,0
CoRoT-5 b,4.0378962,0.04947,400.0,0
Kepler-399 d,58.034616,0.2933579938742127,543.74,0
Kepler-399 b,14.425281,0.11597277207666053,543.74,0
Kepler-399 c,26.675690000000003,0.1747230859059686,543.74,0
Gliese 777 A b,2867.9,3.92,15.89,2
Gliese 777 A c,17.1186,0.128,15.89,2
Kepler-268 b,25.934138,0.1714698344593709,875.31,0
Kepler-268 c,83.446393,0.3737187574184019,875.31,0
HD 95089 b,507.0,1.51,139.0,0
HD 148156 b,1010.0,2.45,53.05,0
Kepler-175 b,11.903514999999999,0.10202893011663394,1219.23,0
Kepler-175 c,34.035257,0.205538195705011,1219.23,0
HD 219828 b,3.8335,0.052000000000000005,81.1,0
HD 7449 b,1270.5,2.33,38.9,2
HD 7449 c,4046.0,4.96,38.9,3
HD 175370 b,349.5,0.98,272.0,0
Kepler-302 c,127.28218400000002,0.4952048954686005,1712.49,0
Kepler-302 b,30.184103999999998,0.18972535581029046,1712.49,0
Kepler-27 b,15.33,0.11800000000000001,991.22,0
Kepler-27 c,31.33,0.191,991.22,0
HD 39194 b,5.6363,0.0519,25.9,0
HD 39194 c,14.025,0.0954,25.9,0
HD 39194 d,33.941,0.172,25.9,0
WASP-69 b,3.8681382000000006,0.04525,50.0,0
HD 196885 A b,1326.0,2.6,33.0,2
Kepler-402 c,6.124821,0.06551420130152451,712.9,0
Kepler-402 e,11.242861,0.09821799805902492,712.9,0
Kepler-402 b,4.028751000000001,0.04955111915032029,712.9,0
Kepler-402 d,8.921099,0.084181906311886,712.9,0
HATS-26 b,3.3023881,0.04735,907.0,0
Kepler-206 c,13.137471,0.10896349643865046,661.32,0
Kepler-206 b,7.781986999999999,0.07685406633866276,661.32,0
Kepler-206 d,23.44281,0.16030471465144736,661.32,0
HD 204313 b,1920.1,3.04,47.37,0
HD 204313 c,34.873000000000005,0.2103,47.37,0
HD 204313 d,2831.6,3.93,47.37,0
HD 159868 b,1178.4,2.25,52.7,0
HD 159868 c,352.3,1.0,52.7,0
HD 1690 b,533.0,1.3,319.0,0
Kepler-184 b,10.687576,0.09495678329961219,727.97,0
Kepler-184 c,20.303005,0.14565097560418874,727.97,0
Kepler-184 d,29.022358,0.18482539665214012,727.97,0
HD 32518 b,157.54,0.59,120.6,0
HAT-P-44 b,4.1696745952487335,0.0507,374.0,0
HAT-P-44 c,219.9,0.6990000000000001,374.0,0
HD 200964 b,613.8,1.601,68.4,0
HD 200964 c,825.0,1.95,68.4,0
HAT-P-19 b,4.0087844,0.0466,215.0,0
Kepler-278 b,30.160546000000004,0.195,511.95,0
Kepler-278 c,51.078775,0.276,511.95,0
Kepler-305 b,5.487108,0.06088386146820372,1013.46,0
Kepler-305 c,8.290858,0.08016894495597085,1013.46,0
Kepler-305 d,16.738660999999997,0.1280620135899462,1013.46,0
Kepler-182 c,20.684342,0.14746908656036087,1440.75,0
Kepler-182 b,9.825792,0.08978109430547355,1440.75,0
Kepler-4 b,3.21346,0.0456,550.0,0
HD 197037 b,1035.7,2.07,32.3,2
KELT-7 b,2.7347749,0.04415,129.0,0
TYC 1422-614-1 b,198.4,0.69,759.0,0
TYC 1422-614-1 c,559.3,1.37,759.0,0
HD 24040 b,3490.0,4.637,46.6,0
HATS-32 b,2.8126548,0.04024,839.0,0
WASP-133 b,2.1764229999999998,0.0345,547.0,0
HAT-P-7 b,2.2047369999999997,0.0379,320.0,2
OGLE-2007-BLG-368L b,2189.5815978315354,3.3,5900.0,0
Kepler-202 b,4.069426999999999,0.049884086667108536,291.9,0
Kepler-202 c,16.282493,0.12572465436436828,291.9,0
HAT-P-3 b,2.8997029999999997,0.03866,130.0,0
Gliese 3341 b,14.207,0.08900000000000001,23.2,0
CoRoT-12 b,2.828042,0.04016,1150.0,0
Kepler-436 b,64.00205,0.33899999999999997,618.0,0
Kepler-436 c,16.79713874,0.12836010288391567,618.0,0
HD 10697 b,1076.4,2.16,32.56,0
Kepler-259 b,8.115317,0.07903331093549229,1182.5,0
Kepler-259 c,36.924931,0.21701328041500229,1182.5,0
HAT-P-18 b,5.507978,0.0559,166.0,0
HD 10647 b,989.2,2.015,17.3,0
Kepler-169 e,13.767102,0.11241774521890181,443.8,0
Kepler-169 c,6.195469,0.06601702901874829,443.8,0
Kepler-169 b,3.250619,0.04294545713076393,443.8,0
Kepler-169 d,8.348125,0.08053768571402403,443.8,0
Kepler-169 f,87.090195,0.38452037652502746,443.8,0
MOA-bin-1 b,8733.882867269718,8.3,5100.0,0
HD 213240 A b,951.0,2.03,40.75,2
Kepler-333 b,12.551158000000001,0.10569693197980484,288.94,0
Kepler-333 c,24.08821,0.1632335914552193,288.94,0
Kepler-22 b,290.0,0.8490000000000001,180.0,0
Kepler-373 b,5.535309,0.06123989396584042,763.85,0
Kepler-373 c,16.725948000000002,0.12799716337950826,763.85,0
CoRoT-19 b,3.89713,0.0518,800.0,0
HD 106252 b,1600.0,2.7,37.44,0
Kepler-47 (AB) b,49.513999999999996,0.2956,1189.0,4
Kepler-47 (AB) c,303.158,0.9890000000000001,1189.0,4
HD 106270 b,2890.0,4.3,84.9,0
Kepler-103 b,15.9654,0.128,476.8,0
Kepler-103 c,179.612,0.6409999999999999,476.8,0
WASP-111 b,2.310965,0.03914,210.0,0
Kepler-74 b,7.340711,0.0781,1330.0,0
Kepler-148 c,4.180043,0.05078401303088803,934.81,0
Kepler-148 b,1.729366,0.028196668240490396,934.81,0
Kepler-148 d,51.84688575,0.2721165567637002,934.81,0
WASP-59 b,7.9195850000000005,0.0697,125.0,0
HD 37605 b,55.01306999999999,0.2837,42.9,0
HD 37605 c,2720.0,3.821,42.9,0
Kepler-322 c,4.337234,0.0520493231113278,443.29,0
Kepler-322 b,1.653888,0.027370154420900503,443.29,0
HD 196050 A b,1316.24,2.47,46.93,2
SWEEPS-4,4.2,0.055,6600.0,0
HD 40979 A b,263.1,0.83,33.3,2
HD 134987 b,258.19,0.81,22.2,0
HD 134987 c,5000.0,5.8,22.2,0
WASP-126 b,3.2888,0.0449,234.0,0
Kepler-195 b,8.307872,0.08027858606803114,681.77,0
Kepler-195 c,34.096863,0.20578614582722568,681.77,0
HD 220773 b,3724.7,4.94,49.0,0
Kepler-81 b,5.95488,0.06429667673814292,410.38,0
Kepler-81 c,12.039956,0.10280710192286237,410.38,0
Kepler-81 d,20.837846,0.14819779195180185,410.38,0
HD 145457 b,176.3,0.76,126.0,0
EPIC 201702477 b,40.7362,0.2205,673.0,3
BD-11 4672 b,1667.0,2.28,27.3,0
WASP-77 A b,1.3600309,0.024,93.0,2
HATS-33 b,2.5495551,0.03727,355.0,0
HD 126525 b,948.12,1.8105,38.1,0
HD 158038 b,521.0,1.48,103.0,0
HAT-48 b,4.40865,0.0543,305.0,0
WASP-56 b,4.617101,0.05458,255.0,0
CoRoT-1 b,1.5089556999999998,0.0254,460.0,0
PSR 1257+12 A,25.261999999999997,0.19,710.0,0
PSR 1257+12 B,66.5419,0.36,710.0,0
PSR 1257+12 C,98.2114,0.46,710.0,0
75 Cet b,691.9,2.1,81.4,0
HD 189567 b,14.275,0.1099,17.7,0
Kepler-365 b,10.664903,0.09482243932911916,1089.04,0
Kepler-365 c,17.784129,0.13334034778711443,1089.04,0
Kepler-68 b,5.398763,0.0617,135.0,2
Kepler-68 c,9.605085,0.09059,135.0,2
Kepler-68 d,580.0,1.4,135.0,2
Kepler-164 c,10.945723,0.09647974624042166,965.43,0
Kepler-164 d,28.986769,0.18467426957705046,965.43,0
Kepler-164 b,5.03503,0.0574920628868403,965.43,0
CoRoT-17 b,3.768125,0.0461,920.0,0
WASP-136 b,5.215357,0.0661,164.0,0
Kepler-234 b,2.711506,0.03805516098205366,1867.58,0
Kepler-234 c,7.21205,0.07305428079474413,1867.58,0
HD 4313 b,356.0,1.19,137.0,0
HD 18742 b,772.0,1.92,135.0,0
Lupus-TR 3b,3.91405,0.0464,2000.0,0
Kepler-167 b,4.393147,0.05249569308389055,344.68,0
Kepler-167 c,7.406097,0.07435886990794778,344.68,0
HD 8673 b,1634.0,3.02,36.1,2
Kepler-132 d,18.010199,0.13446797289191104,331.08,0
Kepler-132 c,6.414914,0.06756686092362904,331.08,0
Kepler-132 b,6.178196,0.0658942680498411,331.08,0
Kepler-132 e,110.28693740000001,0.45007950252761586,331.08,0
Kepler-435 b,8.600153599999999,0.0948,2070.0,0
Gliese 849 b,1924.0,2.39,9.1,0
Gliese 849 c,5520.0,4.82,9.1,0
tau Ceti b,13.965,0.105,3.65,1
tau Ceti c,35.361999999999995,0.195,3.65,1
tau Ceti d,94.11,0.374,3.65,1
tau Ceti e,168.12,0.552,3.65,1
tau Ceti f,642.0,1.35,3.65,1
EPIC 201445392 b,10.35239,0.0856,405.0,0
EPIC 201445392 c,5.06416,0.0532,405.0,0
HD 96700 b,8.1256,0.0774,25.6,0
HD 96700 c,103.49,0.42200000000000004,25.6,0
Gamma Cephei b,903.3,2.05,14.102,2
HD 152079 b,2097.0,3.2,85.17,0
HD 47536 b,434.9,1.12,121.36,0
HD 47536 c,2500.0,3.604955067848691,121.36,1
2M 0746+20 b,4640.0,2.897,12.21,0
Kepler-369 c,14.871572,0.11835259070938459,279.57,0
Kepler-369 b,2.732756,0.03825372703751164,279.57,0
Kepler-125 b,4.164389,0.05065714512466591,223.85,0
Kepler-125 c,5.774464,0.06299135768594087,223.85,0
HD 20367 b,500.0,1.25,27.0,0
HAT-P-15 b,10.863502,0.0964,190.0,0
HD 52265 b,119.6,0.5,28.1,0
HD 167042 b,420.77,1.32,50.23,0
HD 116029 b,670.2,1.73,123.0,0
eps Coronae Borealis b,417.9,1.3,67.9,2
HD 108863 b,443.4,1.4,139.0,0
Kepler-250 c,7.156803999999999,0.07268072753798754,894.42,0
Kepler-250 d,17.648312,0.13266060255266407,894.42,0
Kepler-250 b,4.148141000000001,0.05052529489786678,894.42,0
KOI-428 b,6.873489999999999,0.08,2700.0,0
HATS-21 b,3.5543972999999998,0.04676,286.0,0
Kepler-244 b,4.311792,0.05184557775676041,1104.52,0
Kepler-244 d,20.050401,0.14444035886461978,1104.52,0
Kepler-244 c,9.767292,0.08942438551725676,1104.52,0
WASP-61 b,3.8559,0.0514,480.0,0
Kepler-324 c,51.805611999999996,0.2719721217123501,510.66,0
Kepler-324 b,4.385315,0.05243328246589964,510.66,0
Kepler-199 b,23.637604,0.16119150568201693,544.56,0
Kepler-199 c,67.093408,0.32314175934920114,544.56,0
WASP-36 b,1.5373653,0.02624,450.0,0
WASP-67 b,4.61442,0.0517,225.0,0
HD 224538 b,1189.1,2.28,77.76,0
HAT-P-66 b,2.972086,0.04363,927.0,0
Kepler-111 c,224.78460800000002,0.7235205933505423,691.04,0
Kepler-111 b,3.341815,0.04374496965765746,691.04,0
KOI-680 b,8.600153599999999,0.0948,2070.0,0
MOA-2013-BLG-220L b,213.91305228409973,0.7,2000.0,0
V830 Tau b,6.0,0.065,131.0,1
HD 156668 b,4.646,0.05,24.5,0
OGLE-2012-BLG-0724L b,739.2140258409605,1.6,6700.0,0
Kepler-142 c,4.761702,0.05539212063319134,627.86,0
Kepler-142 b,2.024152,0.03131616684569499,627.86,0
Kepler-142 d,41.809118,0.2357511685820587,627.86,0
51 Eri b,15000.0,14.0,29.4,2
Kepler-215 d,30.864423,0.1925655636506424,593.87,0
Kepler-215 b,9.360672000000001,0.08692496718788614,593.87,0
Kepler-215 c,14.667107999999999,0.11726529763291053,593.87,0
Kepler-215 e,68.16101,0.3265606574174263,593.87,0
KELT-2A b,4.1137913,0.05504,128.6,2
Kepler-84 b,8.725817999999999,0.08294889733435822,1287.77,0
Kepler-84 c,12.882779,0.10755061250218707,1287.77,0
Kepler-84 e,27.434389000000003,0.17802051174737837,1287.77,0
Kepler-84 d,4.224537000000001,0.05114375320185195,1287.77,0
Kepler-84 f,44.552169,0.2459531666398693,1287.77,0
HD 207832 b,161.97,0.57,54.4,0
HD 207832 c,1155.7,2.112,54.4,0
KELT-4A b,2.9895936,0.04061451645477513,210.0,2
OGLE2-TR-L9 b,2.4855335,0.0308,900.0,0
Gliese 674 b,4.6938,0.039,4.54,0
HD 51608 b,14.07,0.1059,34.8,0
HD 51608 c,95.415,0.3791,34.8,0
Kepler-176 c,12.759712,0.10686457549956067,669.36,0
Kepler-176 b,5.4330739999999995,0.06048350221513583,669.36,0
Kepler-176 d,25.751974,0.17066594391204157,669.36,0
Kepler-176 e,51.16579,0.2697281702490698,669.36,0
K2-77 b,8.199796000000001,0.07958084547600278,125.0,0
81 Cet b,952.7,2.5,92.5,0
4 UMa b,269.3,0.87,78.5,0
HD 30856 b,912.0,2.0,118.0,0
HD 195019 A b,18.201629999999998,0.1388,37.36,2
xi Aql b,136.75,0.68,62.7,0
Kepler-223 d,14.788758999999999,0.11791281420065419,1366.95,0
Kepler-223 c,9.848183,0.08991743790320669,1366.95,0
Kepler-223 e,19.721733999999998,0.1428575666001929,1366.95,0
Kepler-223 b,7.384108,0.07421161399509746,1366.95,0
HAT-P-41 b,2.69404,0.0426,344.0,0
HD 208487 b,129.8,0.51,45.0,0
HD 28678 b,387.1,1.24,227.0,0
HD 148427 b,331.5,0.93,59.3,0
HD 85512 b,58.43,0.26,11.15,0
NSVS 14256825 c,1276.0,1.9,570.0,5
NSVS 14256825 d,2506.0,2.9,570.0,5
Gliese 785 b,74.72,0.32,8.82,0
Gliese 785 c,525.8,1.18,8.82,0
WASP-5 b,1.6284246,0.02729,297.0,0
HATS-12 b,3.142833,0.04795,981.0,0
OGLE-2008-BLG-355L b,809.5871506900909,1.7,6800.0,0
HAT-P-23 b,1.212884,0.0232,393.0,0
EPIC 201754305 c,19.07863,0.1229,324.0,0
EPIC 201754305 b,7.6188,0.0667,324.0,0
Kepler-412 b,1.7208612319999999,0.029589999999999998,1056.0,0
CoRoT-8 b,6.21229,0.063,380.0,0
Kepler-312 c,19.747412,0.14298154153484174,720.22,0
Kepler-312 b,1.772419,0.02866272310556225,720.22,0
Kepler-337 c,9.693201,0.08897158536266034,674.39,0
Kepler-337 b,3.2927809999999997,0.04331600697875494,674.39,0
GJ 536,8.7076,0.06661,10.03,0
HD 222076,871.0,1.83,83.5,0
HAT-P-21 b,4.124461,0.0494,254.0,0
HAT-P-67 b,4.81010205,0.06505,320.0,0
HAT-P-34 b,5.4527,0.0677,257.0,0
eta Cet b,407.3,1.27,37.99,0
eta Cet c,744.3,1.93,37.99,0
HD 108874 b,395.4,1.051,68.5,0
HD 108874 c,1605.8,2.68,68.5,0
