PlanetIdentifier,PeriodDays,SemiMajorAxisAU,DistFromEarthParsec,ListsPlanetIsOn
Kepler-359 c,57.688019999999995,0.29218882749358316,2152.57,0
Kepler-359 b,25.563222,0.16983097829951013,2152.57,0
Kepler-359 d,77.095691,0.3545084465204385,2152.57,0
Kepler-264 b,40.806231,0.23196591407617817,804.0,0
Kepler-264 c,140.10126100000002,0.5279197136020272,804.0,0
HAT-P-4 b,3.0565113999999998,0.0446,310.0,0
HD 215456 b,191.99,0.652,38.0,0
HD 215456 c,2277.0,3.3939999999999997,38.0,0
KELT-8 b,3.2440599999999997,0.04571,236.0,0
WASP-64 b,1.5732899999999999,0.02648,350.0,0
HD 13931 b,4218.0,5.15,44.2,0
HD 104985 b,199.505,0.95,97.1,0
HD 49674 b,4.9437,0.057999999999999996,40.7,0
MOA-2009-BLG-266L b,2780.0,3.2,3040.0,0
WASP-29 b,3.9227269999999996,0.0457,80.0,0
CoRoT-9 b,95.2738,0.40700000000000003,460.0,0
HD 86264 b,1475.0,2.86,72.6,0
Kepler-90 h,331.60059,1.01,834.52,0
Kepler-90 g,210.60697000000002,0.71,834.52,0
Kepler-90 f,124.9144,0.48,834.52,0
Kepler-90 e,91.93913,0.42,834.52,0
Kepler-90 d,59.73667,0.32,834.52,0
Kepler-90 c,8.719375,0.08900000000000001,834.52,0
Kepler-90 b,7.008151,0.07400000000000001,834.52,0
Kepler-325 b,4.544439,0.05369411670822547,1125.08,0
Kepler-325 c,12.762172,0.10687831031370436,1125.08,0
Kepler-325 d,38.715185,0.2239721794936897,1125.08,0
KELT-11 b,4.736529,0.06229,98.0,0
HD 206610 b,610.0,1.68,194.0,0
XO-6 b,3.7650007000000003,0.0815,86.0,0
HD 163607 b,75.229,0.36,69.0,0
HD 163607 c,1314.0,2.42,69.0,0
WASP-114 b,1.5487743,0.02851,460.0,0
EPIC 203771098 b,20.88508,0.1542,181.0,0
EPIC 203771098 c,42.36342,0.2471,181.0,0
Gliese 3470 b,3.3366487,0.031,30.7,0
HD 142 A b,349.7,1.02,20.6,2
HD 142 A c,6005.0,6.8,20.6,2
HD 75898 b,418.2,1.19,80.58,0
MOA-2007-BLG-192-L b,195.8421318013568,0.66,700.0,0
55 Cnc b,14.651520000000001,0.11522725,12.34,2
55 Cnc c,44.4175,0.24137600000000003,12.34,2
55 Cnc d,4825.0,5.502999999999999,12.34,2
55 Cnc e,0.7365515,0.015690907,12.34,2
55 Cnc f,262.0,0.7879999999999999,12.34,2
OGLE-2003-BLG-235L b,4206.738234450475,5.1,5200.0,0
Kepler-179 c,6.40013,0.06746300995476912,602.79,0
Kepler-179 b,2.7359259999999996,0.03828330423170217,602.79,0
omi UMa b,1630.0,3.9,54.91,0
Kepler-275 c,16.088134,0.12472216285838593,2055.57,0
Kepler-275 b,10.300682,0.09265108372604676,2055.57,0
Kepler-275 d,35.676062,0.21209208275904662,2055.57,0
Kepler-296 c,5.841636599999999,0.0521,558.5,2
Kepler-296 d,19.850291,0.11800000000000001,558.5,2
Kepler-296 b,10.864384,0.079,558.5,2
Kepler-296 f,63.33626999999999,0.255,558.5,2
Kepler-296 e,34.142109999999995,0.16899999999999998,558.5,11
Kepler-20 b,3.6961218999999996,0.04537,290.0,0
Kepler-20 c,10.854092,0.09300000000000001,290.0,0
Kepler-20 d,77.61185,0.3453,290.0,0
Kepler-20 e,6.098493,0.06335,290.0,0
Kepler-20 f,19.57706,0.1378,290.0,0
HAT-P-2 b,5.633472900000001,0.0674,118.0,0
HAT-P-38 b,4.640382,0.0523,249.0,0
Kepler-341 c,8.01041,0.07835072397965577,1039.88,0
Kepler-341 d,27.666313,0.17902239967087125,1039.88,0
Kepler-341 b,5.1955279999999995,0.058707417533197186,1039.88,0
Kepler-341 e,42.473269,0.23824125914652586,1039.88,0
Kepler-14 b,6.7901229999999995,0.07017648495388405,980.0,0
WASP-113 b,4.542168745380001,0.05885,360.0,0
Kepler-307 b,10.415999999999999,0.09334129696993518,705.48,0
Kepler-307 c,13.084000000000001,0.10866763296905807,705.48,0
KOI-1576.03,23.340320000000002,0.152,705.48,12
HATS-14 b,2.766764,0.03815,513.0,0
HATS-15 b,1.74748753,0.02712,689.0,0
NGC 2423 3 b,714.3,2.1,766.0,7
HAT-P-49 b,3.348122892617518,0.0438,322.0,0
Kepler-407 b,0.6693100000000001,0.014974697546351353,326.4,0
Kepler-407 c,3000.0,4.070871121611445,326.4,0
Kepler-93 b,4.72673978,0.053,96.7,0
Kepler-161 b,4.921355,0.05662344816513959,484.58,0
Kepler-161 c,7.06424,0.07205268136583626,484.58,0
WASP-38 b,6.87188,0.0758,110.0,0
KOI-370.02,22.95102,0.17800000000000002,589.92,0
KOI-370.01,42.882540000000006,0.26899999999999996,589.92,0
Kepler-269 b,5.326718,0.05969156800691619,1605.94,0
Kepler-269 c,8.127899000000001,0.07911497875307863,1605.94,0
OGLE-2015-BLG-0051L b,227.81090786233764,0.73,8200.0,0
Kepler-308 b,9.694927999999999,0.08898215286357351,1602.52,0
Kepler-308 c,15.38231,0.12104705372922557,1602.52,0
Kepler-335 b,6.5623309999999995,0.06859807652640547,1361.65,0
Kepler-335 c,67.84446899999999,0.32554883740261664,1361.65,0
WASP-112 b,3.0353992,0.0382,450.0,0
Kepler-354 b,5.47666,0.06080655096431418,633.05,0
Kepler-354 d,24.209842000000002,0.16378262233305535,633.05,0
Kepler-354 c,16.934402,0.12905844468511649,633.05,0
Kepler-53 b,18.649113,0.13762963895040187,1430.64,0
Kepler-53 d,9.751961999999999,0.0893307918726635,1430.64,0
