,PlanetIdentifier,TypeFlag,RightAscension,DeclinationAccurate,RightAscensionInDegrees,AngleBtwEarthExoplanetInDeg,DistFromEarthParsec
65,Kepler-101 c,0,67981.32,48.35523333333334,283.2555002266044,115.24236659240829,990.44
66,Kepler-156 c,0,69671.0,37.74944444444444,290.29583356557,53.21530152665005,482.88
67,Kepler-156 b,0,69671.0,37.74944444444444,290.29583356557,53.21530152665005,482.88
68,HIP 11952 b,0,9251.0,-11.615833333333335,38.545833364169994,31.354674759490702,111.0
69,HIP 11952 c,0,9251.0,-11.615833333333335,38.545833364169994,31.354674759490702,111.0
70,HD 122430 b,0,50542.0,-26.570277777777775,210.59166683514,116.75373588071096,135.0
71,Kepler-827 b,0,70792.0,42.70861111111111,294.96666690264,128.98353564949397,
72,Kepler-344 b,0,70199.0,46.32416666666667,292.49583356732995,90.493671427529,1307.52
73,Kepler-344 c,0,70199.0,46.32416666666667,292.49583356732995,90.493671427529,1307.52
74,Kepler-859 b,0,68818.0,43.19,286.74166689606,139.159581617855,
75,Kepler-227 b,0,70064.0,48.14138888888889,291.93333356688,98.86560388556646,1481.07
76,Kepler-227 c,0,70064.0,48.14138888888889,291.93333356688,98.86560388556646,1481.07
77,Kepler-843 b,0,71117.0,48.97138888888889,296.32083357039,115.07657347542082,
78,Kepler-404 b,0,68735.0,45.343333333333334,286.39583356245,61.73514611013868,1059.76
79,Kepler-404 c,0,68735.0,45.343333333333334,286.39583356245,61.73514611013868,1059.76
80,Kepler-1483 b,0,70898.0,42.15083333333333,295.40833356966,99.68760498575524,
81,Gliese 86 b,2,7825.93425,-49.176272805555556,32.60805940108644,60.276221396038686,10.783
82,Kepler-1314 b,0,70617.0,45.197222222222216,294.23750023539,74.1734532479038,
83,Kepler-1099 b,0,69299.9,48.27722222222222,288.74958356433297,133.36167659623683,
84,HD 145377 b,0,58296.44543,-26.921825388888887,242.9018561526548,118.2563375955669,55.0
85,HD 75289 A b,2,31660.0,-40.263333333333335,131.9166667722,56.196960101853904,28.94
86,HD 5608 b,0,3494.21893,33.95088452777778,14.559245553314062,85.18792020169198,56.4
87,HATS-28 b,0,68256.0,-48.13861111111111,284.40000022751997,96.59700095186528,521.0
